# T       <Sz^2>          <Q>        <Q^2>          <E>        <E^2>            C            F            S
1.216100987e-07 0.203987 -4.52974e-14 5.8234e-05 0.188236 0.73259 0.0101737 -0.495151 0.683387 
8.599132543e-08 0.201319 -4.46204e-14 5.0948e-05 -0.0115501 -0.0414044 0.00827997 -0.693063 0.681513 
6.080504934e-08 0.198334 -3.88401e-14 5.5967e-05 0.21032 0.824079 0.0122636 -0.469395 0.679715 
4.299566272e-08 0.195036 -2.90761e-14 5.3851e-05 -0.0146636 -0.0521844 0.0108472 -0.691708 0.677045 
3.040252467e-08 0.191319 -1.5073e-14 5.2863e-05 0.236946 0.93654 0.0156414 -0.43728 0.674227 
2.149783136e-08 0.187179 1.52331e-15 5.7861e-05 -0.0189124 -0.0661961 0.0150188 -0.689174 0.670262 
1.520126233e-08 0.182478 1.57015e-14 4.8014e-05 0.269056 1.07549 0.0211575 -0.396713 0.665768 
1.074891568e-08 0.177204 3.29368e-14 6.3448e-05 -0.0247602 -0.0841619 0.0220203 -0.684418 0.659658 
7.600631167e-09 0.171178 4.91571e-14 4.1601e-05 0.30738 1.24674 0.0304512 -0.344972 0.652353 
5.374457839e-09 0.16438 6.18304e-14 7.0578e-05 -0.032844 -0.106746 0.0338372 -0.675445 0.642601 
3.800315583e-09 0.156594 7.79543e-14 3.169e-05 0.351665 1.45322 0.0461209 -0.278859 0.630524 
2.68722892e-09 0.147813 8.87702e-14 7.887e-05 -0.0440379 -0.134238 0.0537661 -0.65865 0.614612 
1.900157792e-09 0.13781 9.41236e-14 1.807e-05 0.399042 1.68768 0.0721113 -0.195533 0.594576 
1.34361446e-09 0.126663 1.02336e-13 9.5313e-05 -0.0599066 -0.169137 0.0856617 -0.628551 0.568645 
9.500788959e-10 0.114236 1.05817e-13 -1.782e-06 0.441485 1.91716 0.11102 -0.0947795 0.536265 
6.718072299e-10 0.100856 1.12672e-13 0.00011804 -0.0841466 -0.226585 0.129273 -0.580132 0.495985 
4.750394479e-10 0.086647 1.16713e-13 -2.9139e-05 0.465041 2.07016 0.156692 0.0171129 0.447928 
3.35903615e-10 0.072361 1.2265e-13 0.000147609 -0.123153 -0.346575 0.169438 -0.515771 0.392618 
2.37519724e-10 0.0584122 1.16505e-13 -5.9798e-05 0.457571 2.06326 0.183943 0.125001 0.332571 
1.679518075e-10 0.0457812 1.14333e-13 0.000179565 -0.17825 -0.562117 0.174935 -0.449723 0.271473 
1.18759862e-10 0.034713 1.14058e-13 -9.0876e-05 0.424515 1.89534 0.165821 0.210958 0.213558 
8.397590374e-11 0.0258135 1.15009e-13 0.00020903 -0.235659 -0.825251 0.135655 -0.398335 0.162676 
5.937993099e-11 0.0187145 1.22971e-13 -0.000114971 0.387671 1.68056 0.115437 0.267088 0.120583 
4.198795187e-11 0.0135391 1.39775e-13 0.000231222 -0.278648 -1.04112 0.0830967 -0.366528 0.0878802 
2.96899655e-11 0.00958232 1.57206e-13 -0.000133796 0.361766 1.51966 0.0684897 0.298654 0.0631116 
2.099397594e-11 0.00689567 1.68691e-13 0.000244821 -0.304115 -1.17434 0.0448805 -0.349354 0.0452389 
1.484498275e-11 0.00480639 1.74469e-13 -0.00014255 0.34718 1.42684 0.0392425 0.315085 0.0320953 
1.049698797e-11 0.00349338 1.79668e-13 0.000253675 -0.317575 -1.24543 0.0234719 -0.340592 0.0230171 
7.422491374e-12 0.00238899 1.86938e-13 -0.000146282 0.33965 1.37879 0.0238502 0.323396 0.0162538 
5.248493984e-12 0.0017812 1.86306e-13 0.00025816 -0.324418 -1.28164 0.0123817 -0.336195 0.0117767 
