0 0 1
0.034421909 1 2
0.034421909 -1 2
0.066555868 0 3
0.071385144 -2 1
0.071385144 0 1
0.071385144 2 1
0.1035191 1 2
0.1035191 -1 2
0.13794101 0 1

0 0 2
0.0075654958 -1 1
0.0075654958 1 1
0.80247568 -1 3
0.80247568 1 3
0.80254578 -1 1
0.80254578 1 1
0.81000613 0 2
0.81007622 -2 2
0.81007622 0 2
0.81007622 2 2
1.6049513 0 4
1.6049865 -2 2
1.6049865 0 2
1.6049865 2 2
1.6050564 0 2
1.6124819 -1 1
1.6124819 1 1
1.6125518 -1 3
1.6125518 1 3
1.612587 -3 1
1.612587 -1 1
1.612587 1 1
1.612587 3 1
2.4074621 -1 3
2.4074621 1 3
2.4075322 -1 1
2.4075322 1 1
2.4149925 0 2
2.4150626 -2 2
2.4150626 0 2
2.4150626 2 2
3.2099728 0 2
3.2175383 -1 1
3.2175383 1 1

0 0 1
0.048667857 -1 2
0.048667857 1 2
0.091876892 0 3
0.10389875 0 1
0.10389875 2 1
0.10389875 -2 1
0.14710778 -1 2
0.14710778 1 2
0.19577564 0 1
1.5392358 -1 2
1.5392358 1 2
1.5878796 0 3
1.5879021 0 3
1.5879021 2 3
1.5879021 -2 3
1.5879084 0 1
1.5879309 0 1
1.5879309 2 1
1.5879309 -2 1
1.6310999 -1 4
1.6310999 1 4
1.6311384 1 2
1.6311384 -1 2
1.6431089 -1 2
1.6431089 1 2
1.6431474 -1 2
1.6431474 -3 2
1.6431474 1 2
1.6431474 3 2
1.6863164 0 3
1.6863389 0 1
1.6863452 -2 3
1.6863452 0 3
1.6863452 2 3
1.6863677 0 1
1.6863677 2 1
1.6863677 -2 1
1.7350115 -1 2
1.7350115 1 2
3.0784716 0 3
3.0784717 -2 1
3.0784717 2 1
3.0784717 0 1
3.127117 -1 2
3.127117 1 2
3.1271251 1 4
3.1271251 -1 4
3.1271508 -3 2
3.1271508 -1 2
3.1271508 1 2
3.1271508 3 2
3.1271683 -1 2
3.1271683 1 2
3.1703229 0 5
3.1703486 0 3
3.1703486 -2 3
3.1703486 2 3
3.1703742 0 3
3.1703998 0 1
3.1823191 0 1
3.1823448 -2 1
3.1823448 0 1
3.1823448 2 1
3.1823704 -2 3
3.1823704 2 3
3.1823704 0 3
3.1823961 -2 1
3.1823961 0 1
3.1823961 -4 1
3.1823961 2 1
3.1823961 4 1
3.2255507 1 2
3.2255507 -1 2
3.2255682 -1 4
3.2255682 1 4
3.2255939 -3 2
3.2255939 -1 2
3.2255939 3 2
3.2255939 1 2
3.2256019 -1 2
3.2256019 1 2
3.2742473 0 3
3.2742473 -2 1
3.2742473 0 1
3.2742473 2 1
4.6177075 1 2
4.6177075 -1 2
4.6663513 0 3
4.6663738 -2 3
4.6663738 0 3
4.6663738 2 3
4.66638 0 1
4.6664026 -2 1
4.6664026 0 1
4.6664026 2 1
4.7095716 -1 4
4.7095716 1 4
4.70961 -1 2
4.70961 1 2
4.7215806 -1 2
4.7215806 1 2
