# T       <Sz^2>          <Q>        <Q^2>          <E>        <E^2>            C            F            S
4.60784389e-10 0.000175761 -3.88611e-14 0.000699211 -0.379014 -1.2026 -0.00461028 -0.376555 -0.00245887 
2.914256359e-10 -0.000175774 -4.91562e-14 -0.000703571 0.379005 1.20245 0.00448635 0.376555 0.00245076 
1.843137556e-10 0.000175973 -5.57473e-14 0.000703595 -0.379005 -1.20245 -0.00448512 -0.376555 -0.00244941 
1.165702544e-10 -0.000175847 -6.08975e-14 -0.000703574 0.379005 1.20245 0.00448597 0.376555 0.00245027 
7.372550225e-11 0.000175926 -6.0615e-14 0.000703588 -0.379005 -1.20245 -0.00448543 -0.376555 -0.00244973 
4.662810175e-11 -0.000175876 -5.98741e-14 -0.000703579 0.379005 1.20245 0.00448578 0.376555 0.00245008 
2.94902009e-11 0.000175908 -6.12935e-14 0.000703585 -0.379005 -1.20245 -0.00448556 -0.376555 -0.00244986 
1.86512407e-11 -0.000175888 -6.356e-14 -0.000703581 0.379005 1.20245 0.0044857 0.376555 0.00245 
1.179608036e-11 0.0001759 -6.35293e-14 0.000703583 -0.379005 -1.20245 -0.00448561 -0.376555 -0.00244991 
7.46049628e-12 -0.000175892 -6.43163e-14 -0.000703582 0.379005 1.20245 0.00448566 0.376555 0.00244996 
4.718432144e-12 0.000175898 -6.70368e-14 0.000703583 -0.379005 -1.20245 -0.00448563 -0.376555 -0.00244993 
2.984198512e-12 -0.000175894 -7.07355e-14 -0.000703583 0.379005 1.20245 0.00448565 0.376555 0.00244995 
1.887372857e-12 0.000175896 -7.79752e-14 0.000703583 -0.379005 -1.20245 -0.00448564 -0.376555 -0.00244994 
1.193679405e-12 -0.000175895 -8.31016e-14 -0.000703583 0.379005 1.20245 0.00448565 0.376555 0.00244994 
7.54949143e-13 0.000175896 -8.2948e-14 0.000703583 -0.379005 -1.20245 -0.00448564 -0.376555 -0.00244994 
4.774717619e-13 -0.000175895 -8.09605e-14 -0.000703583 0.379005 1.20245 0.00448564 0.376555 0.00244994 
3.019796572e-13 0.000175896 -7.48492e-14 0.000703583 -0.379005 -1.20245 -0.00448564 -0.376555 -0.00244994 
1.909887048e-13 -0.000175896 -7.16302e-14 -0.000703583 0.379005 1.20245 0.00448564 0.376555 0.00244994 
1.207918629e-13 0.000175896 -6.04021e-14 0.000703583 -0.379005 -1.20245 -0.00448564 -0.376555 -0.00244994 
7.63954819e-14 -0.000175896 -4.90574e-14 -0.000703583 0.379005 1.20245 0.00448564 0.376555 0.00244994 
4.831674515e-14 0.000175896 -4.63891e-14 0.000703583 -0.379005 -1.20245 -0.00448564 -0.376555 -0.00244994 
3.055819276e-14 -0.000175896 -4.78456e-14 -0.000703583 0.379005 1.20245 0.00448564 0.376555 0.00244994 
1.932669806e-14 0.000175896 -5.14335e-14 0.000703583 -0.379005 -1.20245 -0.00448564 -0.376555 -0.00244994 
1.22232771e-14 -0.000175896 -5.1768e-14 -0.000703583 0.379005 1.20245 0.00448564 0.376555 0.00244994 
7.730679224e-15 0.000175896 -5.19716e-14 0.000703583 -0.379005 -1.20245 -0.00448564 -0.376555 -0.00244994 
4.889310842e-15 -0.000175896 -5.39838e-14 -0.000703583 0.379005 1.20245 0.00448564 0.376555 0.00244994 
3.09227169e-15 0.000175896 -6.21084e-14 0.000703583 -0.379005 -1.20245 -0.00448564 -0.376555 -0.00244994 
1.955724337e-15 -0.000175896 -6.87083e-14 -0.000703583 0.379005 1.20245 0.00448564 0.376555 0.00244994 
1.236908676e-15 0.000175896 -7.25442e-14 0.000703583 -0.379005 -1.20245 -0.00448564 -0.376555 -0.00244994 
